"filename", "language", "TypeScript", "HTML", "JSON", "JSON with Comments", "XML", "Markdown", "Vue", "CSS", "comment", "blank", "total"
"d:\VSCode\Programs\my-vite-proj01\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"d:\VSCode\Programs\my-vite-proj01\auto-imports.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 6, 1, 12
"d:\VSCode\Programs\my-vite-proj01\components.d.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 6, 2, 25
"d:\VSCode\Programs\my-vite-proj01\index.html", "HTML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\VSCode\Programs\my-vite-proj01\package-lock.json", "JSON", 0, 0, 5163, 0, 0, 0, 0, 0, 0, 1, 5164
"d:\VSCode\Programs\my-vite-proj01\package.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 38
"d:\VSCode\Programs\my-vite-proj01\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"d:\VSCode\Programs\my-vite-proj01\src\Apptest.vue", "Vue", 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"d:\VSCode\Programs\my-vite-proj01\src\api\comment.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\VSCode\Programs\my-vite-proj01\src\api\reply.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\VSCode\Programs\my-vite-proj01\src\api\selected.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"d:\VSCode\Programs\my-vite-proj01\src\api\songList.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\VSCode\Programs\my-vite-proj01\src\assets\cancel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\clean.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\comment.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\dynamic.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\find.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\good.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\leftRecord.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\like.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\menu.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\pause.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\recommend.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\record.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\record2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\recordnow.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\return.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\rightRecord.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\roaming.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\search.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\assets\user.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\VSCode\Programs\my-vite-proj01\src\components\bottomPopUp.vue", "Vue", 0, 0, 0, 0, 0, 0, 32, 0, 3, 8, 43
"d:\VSCode\Programs\my-vite-proj01\src\components\reply.vue", "Vue", 0, 0, 0, 0, 0, 0, 88, 0, 9, 9, 106
"d:\VSCode\Programs\my-vite-proj01\src\components\songHistory.vue", "Vue", 0, 0, 0, 0, 0, 0, 61, 0, 2, 8, 71
"d:\VSCode\Programs\my-vite-proj01\src\main.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\VSCode\Programs\my-vite-proj01\src\router\index.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 5, 63
"d:\VSCode\Programs\my-vite-proj01\src\store\bottomPop.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\VSCode\Programs\my-vite-proj01\src\store\commentId.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\VSCode\Programs\my-vite-proj01\src\store\historyList.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\VSCode\Programs\my-vite-proj01\src\store\songList.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\VSCode\Programs\my-vite-proj01\src\store\token.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 1, 12
"d:\VSCode\Programs\my-vite-proj01\src\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"d:\VSCode\Programs\my-vite-proj01\src\utils\request.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 9, 4, 29
"d:\VSCode\Programs\my-vite-proj01\src\views\comment.vue", "Vue", 0, 0, 0, 0, 0, 0, 86, 0, 6, 7, 99
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\dynamics.vue", "Vue", 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\find.vue", "Vue", 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 49, 0, 4, 4, 57
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\blog.vue", "Vue", 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\listen.vue", "Vue", 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\live.vue", "Vue", 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\music\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\music\rank.vue", "Vue", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\recommend\music\selected.vue", "Vue", 0, 0, 0, 0, 0, 0, 111, 0, 3, 14, 128
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\roaming.vue", "Vue", 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\VSCode\Programs\my-vite-proj01\src\views\layout\user.vue", "Vue", 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\VSCode\Programs\my-vite-proj01\src\views\mylogin.vue", "Vue", 0, 0, 0, 0, 0, 0, 53, 0, 5, 8, 66
"d:\VSCode\Programs\my-vite-proj01\src\views\recordMain.vue", "Vue", 0, 0, 0, 0, 0, 0, 54, 0, 7, 5, 66
"d:\VSCode\Programs\my-vite-proj01\src\views\songList.vue", "Vue", 0, 0, 0, 0, 0, 0, 85, 0, 7, 5, 97
"d:\VSCode\Programs\my-vite-proj01\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\VSCode\Programs\my-vite-proj01\tsconfig.app.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 1, 3, 19
"d:\VSCode\Programs\my-vite-proj01\tsconfig.json", "JSON with Comments", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"d:\VSCode\Programs\my-vite-proj01\tsconfig.node.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 2, 4, 29
"d:\VSCode\Programs\my-vite-proj01\vite.config.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 2, 29
"Total", "-", 221, 18, 5238, 24, 20, 3, 710, 8, 76, 152, 6470